timestamp,channel 135,channel 90,channel Ref
"2025-12-10 13:47:37,126",,0.2116,
"2025-12-10 13:47:37,126",,,0.6066
"2025-12-10 13:47:37,126",0.0959,,
"2025-12-10 13:47:42,117",,0.2145,
"2025-12-10 13:47:42,118",,,0.6132
"2025-12-10 13:47:42,118",0.0956,,
"2025-12-10 13:47:47,099",,0.2057,
"2025-12-10 13:47:47,099",,,0.5893
"2025-12-10 13:47:47,099",0.0929,,
"2025-12-10 13:47:52,091",,0.2086,
"2025-12-10 13:47:52,091",,,0.5944
"2025-12-10 13:47:52,091",0.0923,,
"2025-12-10 13:47:57,115",,0.2028,
"2025-12-10 13:47:57,115",,,0.6065
"2025-12-10 13:47:57,115",0.0917,,
"2025-12-10 13:48:02,107",,0.204,
"2025-12-10 13:48:02,107",,,0.5908
"2025-12-10 13:48:02,107",0.0929,,
"2025-12-10 13:48:07,109",,0.2062,
"2025-12-10 13:48:07,109",,,0.6049
"2025-12-10 13:48:07,109",0.0929,,
"2025-12-10 13:48:12,094",,0.2038,
"2025-12-10 13:48:12,094",,,0.5996
"2025-12-10 13:48:12,094",0.0934,,
"2025-12-10 13:48:17,115",,0.2049,
"2025-12-10 13:48:17,115",,,0.6006
"2025-12-10 13:48:17,115",0.0933,,
"2025-12-10 13:48:22,108",,0.2054,
"2025-12-10 13:48:22,108",,,0.5868
"2025-12-10 13:48:22,108",0.0932,,
"2025-12-10 13:48:27,106",,0.202,
"2025-12-10 13:48:27,106",,,0.5816
"2025-12-10 13:48:27,106",0.0933,,
"2025-12-10 13:48:32,091",,0.2039,
"2025-12-10 13:48:32,091",,,0.5902
"2025-12-10 13:48:32,091",0.0912,,
"2025-12-10 13:48:37,115",,0.2058,
"2025-12-10 13:48:37,115",,,0.6009
"2025-12-10 13:48:37,116",0.0938,,
"2025-12-10 13:48:42,107",,0.2044,
"2025-12-10 13:48:42,107",,,0.5959
"2025-12-10 13:48:42,107",0.0929,,
"2025-12-10 13:48:47,099",,0.2002,
"2025-12-10 13:48:47,099",,,0.5941
"2025-12-10 13:48:47,099",0.092,,
"2025-12-10 13:48:52,098",,0.2028,
"2025-12-10 13:48:52,098",,,0.5782
"2025-12-10 13:48:52,098",0.0921,,
"2025-12-10 13:48:57,115",,0.204,
"2025-12-10 13:48:57,115",,,0.5892
"2025-12-10 13:48:57,115",0.0921,,
"2025-12-10 13:49:02,107",,0.2027,
"2025-12-10 13:49:02,107",,,0.6041
"2025-12-10 13:49:02,107",0.0935,,
"2025-12-10 13:49:07,099",,0.2048,
"2025-12-10 13:49:07,099",,,0.6056
"2025-12-10 13:49:07,099",0.0937,,
"2025-12-10 13:49:12,099",,0.1887,
"2025-12-10 13:49:12,099",,,0.548
"2025-12-10 13:49:12,099",0.0884,,
"2025-12-10 13:49:17,115",,0.2055,
"2025-12-10 13:49:17,115",,,0.5929
"2025-12-10 13:49:17,115",0.0935,,
"2025-12-10 13:49:22,107",,0.2041,
"2025-12-10 13:49:22,108",,,0.5965
"2025-12-10 13:49:22,108",0.0929,,
"2025-12-10 13:49:27,099",,0.2063,
"2025-12-10 13:49:27,099",,,0.5905
"2025-12-10 13:49:27,099",0.0938,,
"2025-12-10 13:49:32,091",,0.2055,
"2025-12-10 13:49:32,091",,,0.5974
"2025-12-10 13:49:32,091",0.0925,,
"2025-12-10 13:49:37,122",,0.2092,
"2025-12-10 13:49:37,122",,,0.5717
"2025-12-10 13:49:37,122",0.0917,,
"2025-12-10 13:49:42,107",,0.2059,
"2025-12-10 13:49:42,107",,,0.6073
"2025-12-10 13:49:42,107",0.0923,,
"2025-12-10 13:49:47,099",,0.2041,
"2025-12-10 13:49:47,102",,,0.5932
"2025-12-10 13:49:47,102",0.0898,,
"2025-12-10 13:49:52,091",,0.2071,
"2025-12-10 13:49:52,091",,,0.5946
"2025-12-10 13:49:52,091",0.0898,,
"2025-12-10 13:49:57,122",,0.2019,
"2025-12-10 13:49:57,122",,,0.5763
"2025-12-10 13:49:57,122",0.0893,,
"2025-12-10 13:50:02,107",,0.2094,
"2025-12-10 13:50:02,107",,,0.5846
"2025-12-10 13:50:02,107",0.09,,
"2025-12-10 13:50:07,099",,0.2047,
"2025-12-10 13:50:07,099",,,0.5932
"2025-12-10 13:50:07,099",0.0917,,
"2025-12-10 13:50:12,097",,0.2024,
"2025-12-10 13:50:12,097",,,0.6065
"2025-12-10 13:50:12,097",0.0898,,
"2025-12-10 13:50:17,128",,0.2079,
"2025-12-10 13:50:17,128",,,0.5871
"2025-12-10 13:50:17,128",0.0908,,
"2025-12-10 13:50:22,107",,0.2062,
"2025-12-10 13:50:22,107",,,0.5863
"2025-12-10 13:50:22,107",0.0921,,
"2025-12-10 13:50:27,100",,0.2044,
"2025-12-10 13:50:27,100",,,0.5843
"2025-12-10 13:50:27,100",0.0904,,
"2025-12-10 13:50:32,093",,0.2011,
"2025-12-10 13:50:32,094",,,0.5772
"2025-12-10 13:50:32,094",0.0952,,
"2025-12-10 13:50:37,123",,0.2058,
"2025-12-10 13:50:37,123",,,0.5971
"2025-12-10 13:50:37,123",0.0944,,
"2025-12-10 13:50:42,107",,0.2063,
"2025-12-10 13:50:42,107",,,0.5929
"2025-12-10 13:50:42,107",0.093,,
"2025-12-10 13:50:47,099",,0.2081,
"2025-12-10 13:50:47,099",,,0.6019
"2025-12-10 13:50:47,099",0.0918,,
"2025-12-10 13:50:52,091",,0.2086,
"2025-12-10 13:50:52,092",,,0.5863
"2025-12-10 13:50:52,092",0.0938,,
"2025-12-10 13:50:57,120",,0.2022,
"2025-12-10 13:50:57,120",,,0.603
"2025-12-10 13:50:57,120",0.0921,,
"2025-12-10 13:51:02,115",,0.1924,
"2025-12-10 13:51:02,115",,,0.5627
"2025-12-10 13:51:02,115",0.088,,
"2025-12-10 13:51:07,099",,0.2053,
"2025-12-10 13:51:07,099",,,0.5904
"2025-12-10 13:51:07,099",0.0949,,
"2025-12-10 13:51:12,091",,0.2059,
"2025-12-10 13:51:12,091",,,0.5883
"2025-12-10 13:51:12,091",0.0933,,
"2025-12-10 13:51:17,118",,0.2064,
"2025-12-10 13:51:17,118",,,0.5991
"2025-12-10 13:51:17,118",0.0923,,
"2025-12-10 13:51:22,107",,0.2025,
"2025-12-10 13:51:22,107",,,0.6064
"2025-12-10 13:51:22,107",0.0947,,
"2025-12-10 13:51:27,107",,0.2098,
"2025-12-10 13:51:27,107",,,0.5987
"2025-12-10 13:51:27,107",0.0942,,
"2025-12-10 13:51:32,091",,0.2062,
"2025-12-10 13:51:32,091",,,0.5996
"2025-12-10 13:51:32,091",0.095,,
"2025-12-10 13:51:37,115",,0.2078,
"2025-12-10 13:51:37,115",,,0.6028
"2025-12-10 13:51:37,115",0.0945,,
"2025-12-10 13:51:42,107",,0.2092,
"2025-12-10 13:51:42,107",,,0.6012
"2025-12-10 13:51:42,107",0.0932,,
"2025-12-10 13:51:47,099",,0.2052,
"2025-12-10 13:51:47,099",,,0.6038
"2025-12-10 13:51:47,099",0.0951,,
"2025-12-10 13:51:52,098",,0.2056,
"2025-12-10 13:51:52,098",,,0.5664
"2025-12-10 13:51:52,099",0.0932,,
"2025-12-10 13:51:57,115",,0.2062,
"2025-12-10 13:51:57,115",,,0.5955
"2025-12-10 13:51:57,115",0.0943,,
"2025-12-10 13:52:02,110",,0.2127,
"2025-12-10 13:52:02,110",,,0.5841
"2025-12-10 13:52:02,110",0.0941,,
"2025-12-10 13:52:07,099",,0.2031,
"2025-12-10 13:52:07,099",,,0.6031
"2025-12-10 13:52:07,099",0.0948,,
"2025-12-10 13:52:12,099",,0.1953,
"2025-12-10 13:52:12,099",,,0.5738
"2025-12-10 13:52:12,099",0.0892,,
"2025-12-10 13:52:17,115",,0.2074,
"2025-12-10 13:52:17,115",,,0.5912
"2025-12-10 13:52:17,115",0.0935,,
"2025-12-10 13:52:22,106",,0.2032,
"2025-12-10 13:52:22,107",,,0.5959
"2025-12-10 13:52:22,107",0.0931,,
"2025-12-10 13:52:27,106",,0.2074,
"2025-12-10 13:52:27,106",,,0.5979
"2025-12-10 13:52:27,106",0.0954,,
"2025-12-10 13:52:32,099",,0.2081,
"2025-12-10 13:52:32,099",,,0.5972
"2025-12-10 13:52:32,099",0.0918,,
"2025-12-10 13:52:37,115",,0.2029,
"2025-12-10 13:52:37,115",,,0.5987
"2025-12-10 13:52:37,115",0.0949,,
"2025-12-10 13:52:42,107",,0.2031,
"2025-12-10 13:52:42,107",,,0.6056
"2025-12-10 13:52:42,107",0.094,,
"2025-12-10 13:52:47,099",,0.2101,
"2025-12-10 13:52:47,099",,,0.5965
"2025-12-10 13:52:47,099",0.0936,,
"2025-12-10 13:52:52,091",,0.209,
