time,CO2_ppm,O2_percent
1763124856.0472922,28100,20.58
1763124861.0552526,27960,20.58
1763124866.0472887,27590,20.59
1763124871.0498033,27440,20.61
1763124876.0529718,27350,20.61
1763124881.0486956,27220,20.6
1763124886.0488534,27130,20.61
1763124891.0488942,26970,20.61
1763124896.0489106,26680,20.59
1763124901.0496829,26650,20.6
1763124906.0490553,26570,20.6
1763124911.0492134,26560,20.65
1763124916.0492032,26570,20.63
1763124921.051073,26530,20.6
1763124926.04939,26420,20.62
1763124931.0495782,26280,20.63
1763124936.0496159,26180,20.62
1763124941.0495765,26160,20.64
1763124946.0499556,26160,20.64
1763124951.04969,26090,20.65
1763124956.049821,26040,20.65
1763124961.0498843,25850,20.65
1763124966.0605636,25730,20.64
1763124971.0524633,25550,20.65
1763124976.0787773,25480,20.65
1763124981.0505457,25370,20.65
1763124986.0502348,25300,20.65
1763124991.0504076,25230,20.66
1763124996.0542102,25210,20.65
1763125001.0504484,25160,20.65
1763125006.0596554,25090,20.65
1763125011.0514941,25050,20.65
1763125016.051665,24980,20.65
1763125021.0528026,24850,20.66
1763125026.0517144,24770,20.66
1763125031.0577607,24690,20.66
1763125036.0567925,24590,20.66
1763125041.0570645,24530,20.65
1763125046.056931,24510,20.66
1763125051.0569928,24500,20.66
1763125056.05986,24460,20.66
1763125061.0576332,24430,20.66
1763125066.0642617,24430,20.66
1763125071.0577786,24330,20.65
1763125076.0578418,24280,20.65
1763125081.0594873,24220,20.66
1763125086.0595155,24140,20.66
1763125091.0595832,24030,20.66
1763125096.0608103,23940,20.65
1763125101.0617135,23790,20.66
1763125106.0597913,23670,20.67
1763125111.059871,23560,20.67
1763125116.064761,23470,20.67
1763125121.0606067,23370,20.66
1763125126.060669,23310,20.66
1763125131.0658548,23250,20.66
1763125136.0608642,23260,20.67
1763125141.0608969,23200,20.67
