time,CO2_ppm,CO2_2_ppm,O2_percent
1763394027.291426,10690,10630,20.83
1763394032.0944176,10440,10350,20.87
1763394037.0943944,9930,10140,20.84
1763394042.0948372,9460,9780,20.82
1763394047.0946434,9140,9570,20.82
1763394052.094631,8940,9310,20.82
1763394057.0948193,8840,9090,20.83
1763394062.0962136,8750,8800,20.83
1763394067.095184,8750,8640,20.83
1763394072.0953767,8680,8510,20.84
1763394077.095361,8470,8430,20.84
1763394082.0950944,8450,8320,20.84
1763394087.0951672,8400,8250,20.85
1763394092.0952933,8400,8200,20.94
1763394097.095314,8390,8180,20.89
1763394102.0954103,8370,8130,20.87
1763394107.0956154,8370,8090,20.87
1763394112.0959132,8360,7990,20.87
1763394117.095911,8330,7920,20.87
1763394122.0959582,8330,7830,20.87
1763394127.0959463,8330,7770,20.87
1763394132.0959628,8320,7680,20.88
1763394137.0960066,8310,7610,20.88
1763394142.0961683,8290,7490,20.88
1763394147.0990715,8240,7400,20.88
1763394152.0963497,8220,7420,20.97
1763394157.09631,8200,7480,20.91
1763394162.096419,8180,7530,20.89
1763394167.096615,8150,7540,20.89
1763394172.096595,8130,7540,20.88
1763394177.0967484,8110,7510,20.88
1763394182.096819,8090,7480,20.88
1763394187.0967944,8080,7400,20.88
1763394192.0989976,8040,7340,20.89
1763394197.0970488,8010,7180,20.89
1763394202.0971177,7950,7030,20.89
1763394207.0971327,7890,6850,20.89
1763394212.0973,7850,6910,20.98
1763394217.097327,7830,7110,20.93
1763394222.1247065,7830,7200,20.9
1763394227.0982091,7820,7210,20.89
1763394232.1580682,7750,7200,20.89
1763394237.1050036,7730,7160,20.89
1763394242.0984218,7710,7120,20.89
1763394247.1278207,7710,7040,20.89
1763394252.098548,7720,6940,20.89
