time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C
1763739928.4794178,500,640,21.02,23.687
1763739933.2794578,500,640,21.05,23.687
1763739938.3035126,500,640,21.04,23.687
1763739943.2994313,500,630,21.04,23.687
1763739948.2874684,500,640,21.03,23.687
1763739953.2794154,500,640,21.02,23.687
1763739958.303421,500,640,21.03,23.687
1763739963.295434,500,650,21.02,23.687
1763739968.2874436,500,650,21.03,23.687
1763739973.2794123,500,670,21.02,23.687
1763739978.3034196,500,670,21.03,23.687
1763739983.2954345,500,670,21.01,23.687
1763739988.2874055,500,670,21.02,23.687
1763739993.2794392,500,680,21.04,23.687
1763739998.3034346,500,680,21.04,23.687
1763740003.2954257,500,670,21.03,23.687
1763740008.2874532,500,660,21.02,23.687
1763740013.3114073,500,650,21.02,23.687
1763740018.3034253,500,650,21.01,23.687
1763740023.327448,500,660,21.03,23.687
1763740028.2874486,500,670,21.01,23.687
1763740033.3754337,500,660,21.01,23.687
1763740038.3034174,500,660,21.01,23.687
1763740043.295418,500,650,21.01,23.687
1763740048.2874632,500,650,21.02,23.625
1763740053.2794456,500,640,21.05,23.687
1763740058.3034005,500,650,21.04,23.687
1763740063.2954183,500,640,21.03,23.687
1763740068.287415,500,640,21.03,23.687
1763740073.2794185,500,630,21.01,23.625
1763740078.303466,500,630,21.02,23.687
1763740083.2954142,500,620,21.01,23.687
1763740088.2874587,500,620,21.01,23.687
1763740093.279429,500,620,21.02,23.625
1763740098.3034184,500,620,21.02,23.687
1763740103.2954276,500,620,21.02,23.687
1763740108.287413,490,630,21.02,23.687
1763740113.311431,490,630,21.05,23.687
1763740118.3034346,490,620,21.04,23.687
1763740123.295415,500,630,21.03,23.687
1763740128.2874177,500,650,21.03,23.687
1763740133.3114445,500,650,21.01,23.687
1763740138.3034127,490,670,21.02,23.687
1763740143.2954044,490,670,21.03,23.687
1763740148.287462,490,660,21.02,23.625
1763740153.311425,490,660,21.02,23.687
1763740158.303422,490,630,21.03,23.687
1763740163.3274376,490,640,21.03,23.687
1763740168.287419,490,640,21.03,23.687
1763740173.3114789,490,630,21.05,23.687
1763740178.3034139,490,630,21.04,23.687
1763740183.2954419,490,630,21.03,23.687
1763740188.2874162,490,650,21.02,23.625
1763740193.3114338,490,650,21.03,23.687
1763740198.3034346,490,640,21.02,23.625
1763740203.295428,490,650,21.03,23.687
1763740208.2874753,490,650,21.02,23.625
1763740213.311433,490,650,21.03,23.625
1763740218.3034034,490,650,21.03,23.625
1763740223.295438,490,660,21.03,23.625
1763740228.287397,490,640,21.02,23.625
1763740233.311432,490,630,21.06,23.625
